POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
221,-2058.2995,-19281.6565,-3051.4831,66.3942,0.0,-21339.956,-2985.0889,-24325.0449
222,-2046.8698,-19234.2696,-3058.1782,67.0535,0.0,-21281.1394,-2991.1247,-24272.2641
223,-2067.2503,-19255.9284,-3113.4655,66.8453,0.0,-21323.1787,-3046.6202,-24369.7989
224,-2041.4195,-19205.5721,-3084.2956,66.7887,0.0,-21246.9916,-3017.5069,-24264.4985
225,-2055.616,-19118.6038,-3090.7429,66.176,0.0,-21174.2198,-3024.5669,-24198.7867
226,-2039.4081,-19224.9563,-3059.6773,66.0787,0.0,-21264.3644,-2993.5986,-24257.963
227,-2010.9435,-19273.0302,-3023.9718,66.0387,0.0,-21283.9737,-2957.9331,-24241.9068
228,-2050.8341,-19239.9381,-3073.6959,66.9858,0.0,-21290.7722,-3006.7101,-24297.4823
229,-2049.2403,-19185.5928,-3091.2052,67.4495,0.0,-21234.8331,-3023.7557,-24258.5888
230,-2072.8039,-19149.9836,-3079.0873,66.3592,0.0,-21222.7875,-3012.7281,-24235.5156
231,-2071.7748,-19233.0978,-3050.8566,65.7468,0.0,-21304.8726,-2985.1098,-24289.9824
232,-2063.2752,-19183.2367,-3099.0325,66.3516,0.0,-21246.5119,-3032.6809,-24279.1928
233,-2051.6307,-19313.9638,-3062.0593,65.5783,0.0,-21365.5945,-2996.481,-24362.0755
234,-2021.2744,-19278.0064,-3060.4851,65.685,0.0,-21299.2808,-2994.8001,-24294.0809
235,-2045.9386,-19261.813,-3076.3361,66.2367,0.0,-21307.7516,-3010.0994,-24317.851
236,-2043.6308,-19315.445,-3035.7942,65.9749,0.0,-21359.0758,-2969.8193,-24328.8951
237,-2049.844,-19369.8087,-2996.7762,66.3689,0.0,-21419.6527,-2930.4073,-24350.06
238,-2018.2973,-19307.9282,-3056.4019,66.1893,0.0,-21326.2255,-2990.2126,-24316.4381
239,-2045.7655,-19315.4315,-3039.8407,66.7718,0.0,-21361.197,-2973.0689,-24334.2659
240,-2045.7332,-19276.3243,-3082.0644,66.0624,0.0,-21322.0575,-3016.002,-24338.0595
241,-2058.0821,-19233.8939,-3072.109,66.7301,0.0,-21291.976,-3005.3789,-24297.3549
242,-2044.9179,-19303.7365,-2988.4225,67.5548,0.0,-21348.6544,-2920.8677,-24269.5221
243,-2032.4582,-19230.8276,-3052.9731,66.6508,0.0,-21263.2858,-2986.3223,-24249.6081
244,-2063.8663,-19247.1465,-3035.9141,66.7245,0.0,-21311.0128,-2969.1896,-24280.2024
245,-2016.3532,-19304.6077,-3058.7223,67.3704,0.0,-21320.9609,-2991.3519,-24312.3128
246,-2038.8344,-19256.1802,-3027.205,67.6036,0.0,-21295.0146,-2959.6014,-24254.616
247,-2059.3605,-19298.5447,-3029.8221,67.4322,0.0,-21357.9052,-2962.3899,-24320.2951
248,-2023.6603,-19270.4893,-3041.438,67.2898,0.0,-21294.1496,-2974.1482,-24268.2978
249,-1999.3951,-19281.4455,-3064.9842,67.4491,0.0,-21280.8406,-2997.5351,-24278.3757
250,-2042.0543,-19252.0063,-3056.2851,67.669,0.0,-21294.0606,-2988.6161,-24282.6767
251,-2007.1599,-19330.1213,-2983.4622,66.889,0.0,-21337.2812,-2916.5732,-24253.8544
252,-2047.0405,-19284.1394,-3042.1622,67.1017,0.0,-21331.1799,-2975.0605,-24306.2404
253,-2049.2584,-19304.4489,-3008.5401,67.4349,0.0,-21353.7073,-2941.1052,-24294.8125
254,-2018.7582,-19303.744,-3018.7013,67.9241,0.0,-21322.5022,-2950.7772,-24273.2794
255,-2038.1057,-19265.8877,-3058.2986,68.1819,0.0,-21303.9934,-2990.1167,-24294.1101
256,-1987.7278,-19319.6873,-3022.1103,68.3361,0.0,-21307.4151,-2953.7742,-24261.1893
257,-2070.0668,-19280.1018,-3030.8769,67.2641,0.0,-21350.1686,-2963.6128,-24313.7814
258,-2036.0951,-19315.479,-3065.7391,67.9043,0.0,-21351.5741,-2997.8348,-24349.4089
259,-2071.1348,-19266.9948,-3055.4483,67.1858,0.0,-21338.1296,-2988.2625,-24326.3921
260,-2016.653,-19202.5731,-3094.7881,67.2939,0.0,-21219.2261,-3027.4942,-24246.7203
